Filename,"Asset ID","Folder ID",CUSTOMFIELD1,CUSTOMFIELD20,CUSTOMFIELD21,CUSTOMFIELD22,CUSTOMFIELD23,CUSTOMFIELD24,CUSTOMFIELD25,CUSTOMFIELD26,CUSTOMFIELD27,CUSTOMFIELD28,CUSTOMFIELD29,CUSTOMFIELD30,CUSTOMFIELD31,CUSTOMFIELD32,CUSTOMFIELD33,CUSTOMFIELD34,CUSTOMFIELD35,CUSTOMFIELD36,CUSTOMFIELD40,CUSTOMFIELD52,CUSTOMFIELD53,CUSTOMFIELD54,Width,Height,KEYWORD
PublicSqandGardensVessel.docx,98805990,6862019,New,"Related Companies",,,,,,,,,,,,,,,,,,,9/14/16,11/19/19,,,"Documents,Eastern Rail Yard,Vessel,Eastern Rail Yard,Landscape,Americas,United States,NY - New York,Hudson Yards"
"12.15.2016 First Residential Offering at Hudson Yards is 30 Percent Sold.docx",98805987,6862019,New,"Related Companies",,,,,,,,,,,,,,,,,,,12/15/16,11/19/19,,,"Documents,Eastern Rail Yard,15 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
"3.XX.2016 China Life Invests in 35 Hudson Yards.docx",98805976,6862019,New,"Related Companies",,,,,,,,,,,,,,,,,,,3/1/16,11/19/19,,,"Documents,Eastern Rail Yard,35 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
"11.11.2015 Neiman Marcus at Hudson Yards Design Partner.docx",98805969,6862017,New,"Related Companies",,,,,,,,,,,,,,,,,,,11/11/15,11/19/19,,,"Documents,Approved,Retail,Neiman Marcus,Eastern Rail Yard,20 Hudson Yards - Retail,Americas,United States,NY - New York,Hudson Yards"
"01.18.2017 Fifteen Hudson Yards' Rapid Sales Makes Marquee Building One of Fastest Selling Manhattan Condominium Developments of 2016.docx",98805966,6862020,New,"Related Companies",,,,,,,,,,,,,,,,,,,1/18/17,11/19/19,,,"Documents,Eastern Rail Yard,15 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
"11.30.16 The Shops & Restaurants at Hudson Yards Nearly 60% Leased.docx",98805963,6862018,New,"Related Companies",,,,,,,,,,,,,,,,,,,11/30/16,11/19/19,,,"Documents,Eastern Rail Yard,20 Hudson Yards - Retail,Americas,United States,NY - New York,Hudson Yards"
"10.05.2015 10 Hudson Yards Topping Out Media Advisory.docx",98805953,6862017,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/5/15,11/19/19,,,"Documents,Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
"04.17.2017 Media Advisory - First Pieces of Vessel Constructed at Hudson.._.docx",98805944,6862021,New,"Related Companies",,,,,,,,,,,,,,,,,,,4/17/17,11/19/19,,,"Documents,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
"08.01.2016 Related and Oxford Complete Recapitalization of 10HY.docx",98805936,6862018,New,"Related Companies",,,,,,,,,,,,,,,,,,,8/1/16,11/19/19,,,"Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
"04 10 13 L'Oreal and SAP for Wire.docx",98805925,6862013,New,"Related Companies",,,,,,,,,,,,,,,,,,,4/10/13,11/19/19,,,"E-Announcements,Releases,Approved,Office,L'Oreal USA,Approved,Office,SAP Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
"12.05.14 Hudson Yards at ICSC.DOCX",98805920,6862015,New,"Related Companies",,,,,,,,,,,,,,,,,,,12/5/14,11/19/19,,,"E-Announcements,ReleasesAmericas,United States,NY - New York,Hudson Yards"
"11.28.2017 Cartier Van Cleef and Piaget Opening Stores at Hudson Yards..._.docx",98805919,6862020,New,"Related Companies",,,,,,,,,,,,,,,,,,,11/28/17,11/19/19,,,"Documents,Approved,Retail,Van Cleef & Arpels,Approved,Retail,Cartier,Approved,Retail,Piaget,Eastern Rail Yard,20 Hudson Yards - Retail,Americas,United States,NY - New York,Hudson Yards"
"09.04.14 Neiman Marcus Glagship to Anchor Hudson Yards.docx",98805917,6862014,New,"Related Companies",,,,,,,,,,,,,,,,,,,9/4/14,11/19/19,,,"E-Announcements,Releases,Approved,Retail,Neiman Marcus,Eastern Rail Yard,20 Hudson Yards - Retail,Americas,United States,NY - New York,Hudson Yards"
"3.12.15 - Jennifer Tuhy - Hudson Yards CFO.docx",98805916,6862017,New,"Related Companies",,,,,,,,,,,,,,,,,,,3/12/15,11/19/19,,,"Documents,Executives,Internal,Jennifer Tuhy,Americas,United States,NY - New York,Hudson Yards"
